match_date,home_team,away_team,home_score,away_score,tournament,city,country,neutral_bool,tournament_weight,home_goals_scored_avg,away_goals_scored_avg,home_goals_conceded_avg,away_goals_conceded_avg,home_form_avg,away_form_avg,home_elo_before,away_elo_before
2018-01-02,Iraq,United Arab Emirates,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1.0,1.8,0.6,0.6,0.4,2.6,1.6,1500.0,1500.0
2018-01-02,Oman,Bahrain,1.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1.0,2.0,1.4,0.8,0.8,2.4,1.6,1500.0,1500.0
2018-01-05,Oman,United Arab Emirates,0.0,0.0,Gulf Cup,Kuwait City,Kuwait,True,1.0,1.6,0.2,0.6,0.2,2.4,1.2,1513.6,1500.0
2018-03-22,Kyrgyzstan,Myanmar,5.0,1.0,AFC Asian Cup qualification,Incheon,South Korea,True,1.0,1.6,1.6,1.2,1.8,2.0,1.0,1500.0,1500.0
2018-03-24,Alderney,Guernsey,0.0,2.0,Muratti Vase,Alderney,Alderney,False,1.0,0.8,1.8,2.8,1.2,0.6,1.6,1500.0,1500.0
2018-03-27,Kyrgyzstan,India,2.0,1.0,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,False,1.0,2.4,2.0,1.4,0.6,2.0,2.6,1513.6,1500.0
2018-03-27,Afghanistan,Cambodia,2.0,1.0,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,1.0,1.0,0.4,1.8,3.0,0.6,0.6,1500.0,1500.0
2018-03-27,Bahrain,Turkmenistan,4.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False,1.0,1.2,1.6,0.6,1.2,1.6,2.0,1486.4,1500.0
2018-03-27,Myanmar,Macau,1.0,0.0,AFC Asian Cup qualification,Yangon,Myanmar,False,1.0,1.8,0.8,2.0,3.0,1.0,0.0,1486.4,1500.0
2018-03-27,Jordan,Vietnam,1.0,1.0,AFC Asian Cup qualification,Amman,Jordan,False,1.0,3.0,1.6,0.8,0.4,2.2,1.8,1500.0,1500.0
2018-03-27,North Korea,Hong Kong,2.0,0.0,AFC Asian Cup qualification,Pyongyang,North Korea,False,1.0,1.8,0.8,1.0,1.0,1.4,1.0,1500.0,1500.0
2018-03-27,Lebanon,Malaysia,2.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False,1.0,2.4,0.8,0.6,2.6,2.6,0.2,1500.0,1500.0
2018-03-27,Philippines,Tajikistan,2.0,1.0,AFC Asian Cup qualification,Manila,Philippines,False,1.0,2.2,1.8,1.4,1.4,1.8,1.4,1500.0,1500.0
2018-03-27,Yemen,Nepal,2.0,1.0,AFC Asian Cup qualification,Doha,Qatar,True,1.0,0.2,0.4,1.8,1.8,0.4,0.4,1500.0,1500.0
2018-03-27,Maldives,Bhutan,7.0,0.0,AFC Asian Cup qualification,Malé,Maldives,False,1.0,0.8,0.4,3.8,6.4,0.6,0.0,1500.0,1500.0
2018-03-27,Oman,Palestine,1.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False,1.0,0.8,5.0,0.2,0.4,2.0,3.0,1513.06791406138,1500.0
2018-03-27,Taiwan,Singapore,1.0,0.0,AFC Asian Cup qualification,Taipei,Taiwan,False,1.0,1.4,0.6,2.6,1.6,1.2,0.4,1500.0,1500.0
2018-05-12,Jersey,Guernsey,1.0,0.0,Muratti Vase,Jersey,Jersey,False,1.0,2.6,2.0,1.4,1.0,2.0,2.0,1500.0,1513.6
2018-05-27,Madagascar,Mozambique,2.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,2.4,1.0,0.8,1.8,2.6,1.8,1500.0,1500.0
2018-05-27,Comoros,Seychelles,1.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.6,0.6,0.8,3.4,0.8,0.0,1500.0,1500.0
2018-05-28,Malawi,Mauritius,0.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.4,0.4,0.4,1.0,1.6,0.6,1500.0,1500.0
2018-05-28,Angola,Botswana,1.0,2.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.6,0.8,0.8,2.0,1.2,0.0,1500.0,1500.0
2018-05-29,Comoros,Mozambique,0.0,3.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.8,1.0,0.8,2.2,1.0,1.2,1500.0,1486.4
2018-05-29,Madagascar,Seychelles,1.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,2.2,0.6,0.6,3.2,2.6,0.2,1513.6,1500.0
2018-05-30,Malawi,Botswana,1.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.2,0.8,0.6,1.6,1.0,0.6,1486.4,1513.6
2018-05-30,Angola,Mauritius,1.0,0.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.6,0.6,1.0,0.6,1.0,1.2,1486.4,1513.6
2018-05-30,Estonia,Lithuania,2.0,0.0,Baltic Cup,Rakvere,Estonia,False,1.0,1.6,0.4,0.8,2.2,1.4,0.2,1500.0,1500.0
2018-05-31,Abkhazia,Tibet,3.0,0.0,CONIFA World Football Cup,Enfield,England,True,1.0,1.0,2.4,1.2,11.2,1.2,0.6,1500.0,1500.0
2018-05-31,Mozambique,Seychelles,2.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,1.4,0.6,2.2,2.4,1.2,0.4,1500.5320859386202,1500.53208593862
2018-05-31,Barawa,Tamil Eelam,4.0,0.0,CONIFA World Football Cup,Bromley,England,False,1.0,1.0,5.2,4.0,1.2,0.0,2.4,1500.0,1500.0
2018-05-31,Comoros,Madagascar,0.0,1.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.8,1.8,1.2,0.6,1.0,2.2,1485.86791406138,1513.06791406138
2018-05-31,Ellan Vannin,Cascadia,4.0,1.0,CONIFA World Football Cup,Sutton,England,True,1.0,1.4,0.0,1.8,0.0,1.0,1.0,1500.0,1500.0
2018-05-31,Padania,Matabeleland,6.0,1.0,CONIFA World Football Cup,Sutton,England,True,1.0,1.0,0.0,0.4,0.0,1.8,1.0,1500.0,1500.0
2018-05-31,United Koreans in Japan,Western Armenia,0.0,0.0,CONIFA World Football Cup,Carshalton,England,True,1.0,0.8,2.8,1.4,1.4,1.0,0.8,1500.0,1500.0
2018-05-31,Panjab,Kabylia,8.0,0.0,CONIFA World Football Cup,Slough,England,True,1.0,2.0,0.0,0.8,0.0,2.0,1.0,1500.0,1500.0
2018-05-31,Székely Land,Tuvalu,4.0,0.0,CONIFA World Football Cup,Haringey,England,True,1.0,1.8,1.2,1.4,5.6,1.4,1.2,1500.0,1500.0
2018-05-31,Northern Cyprus,Kárpátalja,1.0,1.0,CONIFA World Football Cup,Enfield,England,True,1.0,2.4,2.0,0.4,1.6,2.2,1.2,1500.0,1500.0
2018-06-01,Botswana,Mauritius,6.0,0.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.8,0.4,1.4,0.6,0.8,1.0,1512.537454544854,1498.9374545448538
2018-06-01,Angola,Malawi,0.0,0.0,COSAFA Cup,Polokwane,South Africa,True,1.0,0.6,0.2,0.4,0.8,1.6,0.6,1501.0625454551462,1487.462545455146
2018-06-01,India,Taiwan,5.0,0.0,Intercontinental Cup,Mumbai,India,False,1.0,2.0,1.2,1.0,1.8,2.0,1.8,1486.93208593862,1513.6
